,Unnamed: 0,previous_day_admission_influenza_confirmed
1305,70033,2.0
1306,65128,3.0
1307,71537,4.0
1308,71807,2.0
1309,67552,1.0
1310,63119,1.0
1311,64178,2.0
1312,71483,3.0
1313,67624,7.0
1314,68143,1.0
1315,71554,2.0
1316,70826,2.0
1317,69997,7.0
1318,61986,3.0
1319,65152,1.0
1320,69198,3.0
1321,72397,0.0
1322,68204,4.0
1323,65335,3.0
1324,70922,2.0
1325,64420,4.0
1326,74053,3.0
1327,71415,7.0
1328,65768,1.0
1329,64321,1.0
1330,64697,1.0
1331,71918,1.0
1332,73798,2.0
1333,73470,1.0
1334,72227,2.0
1335,65563,3.0
1336,64139,2.0
1337,67187,5.0
1338,65042,1.0
1339,64996,1.0
1340,70144,3.0
1341,69116,11.0
1342,65632,3.0
1343,63681,10.0
1344,69537,2.0
1345,72295,4.0
1346,73966,2.0
1347,66641,9.0
1348,63818,1.0
1349,65585,3.0
1350,72650,9.0
1351,73356,8.0
1352,61143,11.0
1353,71451,5.0
1354,66770,7.0
1355,64993,4.0
1356,1029,9.0
1357,64596,8.0
1358,66277,10.0
1359,69282,11.0
1360,60831,16.0
1361,64707,6.0
1362,61010,16.0
1363,70364,17.0
1364,68409,12.0
1365,71891,6.0
1366,64464,13.0
1367,62960,24.0
1368,69407,15.0
1369,73097,10.0
1370,72343,19.0
1371,61201,19.0
1372,70128,22.0
1373,66854,18.0
1374,66287,22.0
1375,60851,14.0
1376,70031,31.0
1377,67161,31.0
1378,72802,31.0
1379,61300,37.0
1380,63399,29.0
1381,72547,38.0
1382,68166,24.0
1383,70143,27.0
1384,62880,48.0
1385,65333,35.0
632,69.0
1473,67232,86.0
1474,61106,79.0
1475,63846,82.0
1476,66387,81.0

